repo_path,date,bytes,sha256,source,drive_id,method,title
00_canon/2026-08-09 spine_V4_canon_first_mode_priced_DraftV1.md,2026-08-09,27667,ff00e2f2b9f6965e0396c1474d4940c60ac050e2183f2afba95a46576d7ac59c,drive,1Q1hCExUMVlnrjmA-_zgIvU0MKreSW8HD,drive-text-route-exact,"Spine V4 (canon-first, mode-priced) + Stamp Kit V2 — DraftV1, 2026-08-09"
00_canon/2026-08-26 COUNCIL_general_priority_and_orientation.md,2026-08-26,26560,eabf6d5c6e423e0c30321df24c97c591eadc4d99e5469d385d58e875080bfc03,project:cleanroom/COUNCIL_general_priority_and_orientation_20260826.md,,project-mirror-exact,THE COUNSEL COUNCIL — GENERAL PRIORITY AND ORIENTATION
00_canon/2026-08-27 DEPOSIT_SKELETON_DraftV1.md,2026-08-27,7536,e1e2059f6c891bbfda96b60b7af232c814b757eb3696bd09e89105b165ff6fd8,project:cleanroom/DEPOSIT_SKELETON_DraftV1_20260827.md,,project-mirror-exact,"DEPOSIT SKELETON — DraftV1, for Will's review"
00_canon/2026-09-12 errata_and_status_index_2026-07-25_to_2026-09-12.md,2026-09-12,22080,831416b28a86e6518f5763f24950b57126cf7ad3c1b12c009b3124b968f95ce9,this-commit,,written-2026-09-12,Errata and status index — the dated layer 2026-07-25 → 2026-09-12 (assembled 2026-09-12)
00_canon/README.md,,2288,0b3812e3570bda6eef6becd20054e759ee0da0248fdbb5b6f1bc67c870527296,this-commit,,written-2026-09-12,00_canon — The current authoritative layer
2026-08-05 catalog_delta_master_ActiveV1_1.csv,2026-08-05,33483,30d47615811a9d6255702d4d01120e5b47fe6cf98df7c9249eb5f12bd96e1a13,drive,1vab5cUvf3bqrH8aKbe8pND9ucGl2UQJ8,drive-base64-exact,
20_records/2026-07/2026-07-23 ot1_delta_8000_rerun_nonreject_ladder_provenance_closed_ActiveV1.md,2026-07-23,6476,e4dccb867494f19122ae9e992e42b64fa653b6b9441bcac30b9bc2a89d5c8f0e,drive,1Ycb1NoAv1CdqlSpLAVrcZ5aTTd8Gwfrc,drive-base64-exact,Session Delta — OT1: 8000 rerun NON-REJECT; the 07-04 exclusion falsified by execution; ladder provenance closed
20_records/2026-07/2026-07-24 carrier_rung3_R34e_opened_qface_closed_depth_capacity_shape_computability_Delta3.md,2026-07-24,11352,9e14e44b9b67da42716c116480c4a9c7522a7df78deb23f9576a3640d383f120,drive,1FLYv2Mhe1_dNYFffa8P6IisZVib0M2aA,drive-base64-exact,"Carrier Rung 3, Delta 3 — R3.4-e opened: the q-face closed at every resolution; the key extended and split for blind grading; χ-as-depth modeled with two verified instances; capacities, shape, and the"
20_records/2026-07/2026-07-24 carrier_rung3_dihedral_floor_executed_key_frozen_Delta2.md,2026-07-24,9908,0cd6012f3cd295bc8f914929d677285969a6817b1e783e6f89d1ff52b4c73100,drive,14s7lKZ-QJ1sKIPyLdZOzbMU4gU09cUEv,drive-base64-exact,"Carrier Rung 3, Delta 2 — R3.4 floor executions: the boundary-null theorem exhibited, the deck tower computed exactly, the grading key FROZEN before any evaluator exists; the multiplicity structured; "
20_records/2026-07/2026-07-24 rung3_R34_SUCCESS_reduction_flow_carrier_locator_family_ActiveV2-Delta4.md,2026-07-24,10206,c5185474ebccb708296eb2e21d8df543ed96bf1c7ea7f26bf38ffa4e808c65ef,drive,1VHZSOzVoex5nlKLUsKR9qSf4Zgp-8gIy,drive-base64-exact,"Carrier Rung 3, Delta 4 — R3.4 SUCCESS at the dihedral floor: the value register carries, and the carrier is the reduction flow itself; the locator family generalized; the non-abelian machine model an"
20_records/2026-07/2026-07-24 rung3_R34_SUCCESS_reduction_flow_carrier_locator_family_ArchivalV1-Delta4.md,2026-07-24,10337,57ed7c1e7df97a0cedd4e572824d032c7a9cd0ececd8e06008fcfbf97193e8cd,drive,1hHU-nujRB5cvmoF7p028nUcagHaqFP5OfB64FdFYz-Y,drive-gdoc-export-markdown,"Carrier Rung 3, Delta 4 — R3.4 SUCCESS at the dihedral floor: the value register carries, and the carrier is the reduction flow itself; the locator family generalized; the non-abelian machine model an"
20_records/2026-07/2026-07-24 rung3_TEP_characteristic_pass_guide_verdict_Delta5.md,2026-07-24,9415,a7b12815222841aef92e92887d91debf51f525914382c99686281fb2a662977c,drive,1fcDyZNPhw905AERW4oz5LKe9FQzwwd5b,drive-base64-exact,"Carrier Rung 3, Delta 5 — the TEP-characteristic pass: the skeleton audited, five hypotheses minted (one killed same-hour), the locator's second floor verified, and a scoped guide-grade verdict"
20_records/2026-07/2026-07-24 rung3_foundational_regrounding_axiom_starred_family_GMC_doppler_Delta7.md,2026-07-24,10654,9a2e808bd2e28f73914b4cec562d9af97c056decc3d39fc52f82f40bfa28b734,drive,1Z4PLDvj9Uib2dnnkfgKbGwImgUrRTKSV,drive-base64-exact,"Carrier Rung 3, Delta 7 — the foundational re-grounding pass: the axiom chain as derived; the starred family disambiguated (and the silver chain identified as the π/8 port); GMC's martingale pair as t"
20_records/2026-07/2026-07-24 rung3_langlands_through_the_cascade_why_cross_rank_Delta9.md,2026-07-24,9807,8ecfe98db1ceaa5043fe38a55bb1c40e5543c6cdd0da641c117e16e13620e624,drive,1FCe-qKCGqIPgywzm-adiVYDVVBG-xh12,drive-base64-exact,"Carrier Rung 3, Delta 9 — Langlands through the cascade, premise granted: the two sides as the two directions of one morphism, why the correspondence is intrinsically cross-rank and cross-depth, and t"
20_records/2026-07/2026-07-24 rung3_opening_graded_ribbon_run_DraftV1.md,2026-07-24,14890,c97c925b7a2987cbea31e56b7f642268eb0d84024b5fcc7c72566015507b2df5,drive,16hYL3XVulm5AGY01NUTtQMk-9CXdSdtt,drive-base64-exact,"Carrier Campaign, Rung 3 Opening — the Graded Ribbon Run: the recorded decider, executed against its answer key"
20_records/2026-07/2026-07-24 rung3_reactive_crossings_parsimony_audit_crossing_grammar_Delta8.md,2026-07-24,7604,87d48ebcef09de0c31c989df695e04c9fbf419ce81c4ec89a671aa9ab4534320,drive,1MVz3uGWWL9rQbOC-OzYOWFPJf4T8oyWG,drive-base64-exact,"Carrier Rung 3, Delta 8 — the reactive-crossing representation: reconstructed, verified, parsimony-audited; the crossing grammar as one zero-shape-parameter structure in four registers"
20_records/2026-07/2026-07-24 rung3_skeleton_native_pass_port_budget_calculus_Delta6.md,2026-07-24,10892,7a9a5b364ab499a38222a68360c4d1ef54f7ccc9305c18b33128e34b954aa486,drive,1uIE1EQmk_YK3Tqw28x4wIWRObnJFVheR,drive-base64-exact,"Carrier Rung 3, Delta 6 — the skeleton-native pass: the budget calculus computed at the ports; G, G_new, capacity, and the ensemble laws; the moment locator; rank translation; what ""new content"" now m"
20_records/2026-07/2026-07-24 rung3_torsor_upgrade_crossing_table_field_layer_closed_Delta1.md,2026-07-24,8202,667b37e7d56dc63c435c4f7a8a3454b05fb512c1464649b09fe853c9aa49c1df,drive,1k4N3K4752ygpqEvrInnIt-XmAdf18AOy,drive-base64-exact,"Carrier Rung 3, Delta 1 — the torsor upgrade (Will); the crossing table computed; the field layer CLOSED by A₅'s simplicity; the fork sharpened to the deck"
20_records/2026-07/2026-07-24 session_consolidation_third_review_and_rung3_handoff_ActiveV1.md,2026-07-24,8439,7f0e73d2661ae30735e348970b19ce81aaf182a2ade386dd93826e098c5d254b,drive,1FbnPYbaAM7nEgGqE2WSynr_k-Qq2mkLboObvYFD-rYo,drive-gdoc-export-markdown,"Session Consolidation — the Third-Review Session: independent verification, the Rung-3 arc (Deltas 1–9), frozen pre-registrations, and the handoff \[ActiveV1\]"
20_records/2026-07/2026-07-25 20260724 asides_log_entry_third_review_to_rung3_close.md,2026-07-25,6059,83b21a7940d36342ada1b757c3bb51204a0ba9a59a4055919e42eff4629cfe30,drive,188ahU8Ljz1waH28lCDkaVcGrGOKi22xQ,drive-base64-exact,"Asides Log — 2026-07-24 Session Entry (third external review → OT1 re-grade → carrier rung 3, Deltas 1–9 → consolidation and handoff)"
20_records/2026-07/2026-07-25 20260724 session_consolidation_third_review_and_rung3_handoff_ActiveV1.md,2026-07-25,8357,962c69b56a9183c6afb74fe6bb93cfbcaf601caa7fcb284e1c48b10f10e9c04c,drive,15qmMNiOYqskPoX8HxaD5utqfauffMeTK,drive-base64-exact,"Session Consolidation — the Third-Review Session: independent verification, the Rung-3 arc (Deltas 1–9), frozen pre-registrations, and the handoff [ActiveV1]"
20_records/2026-07/2026-07-25 20260725 Oa_rung3_opening_Hstar_frame_democracy_DraftV1.md,2026-07-25,6797,fef7cc4d7794b14e7291088833efee4ffaa30040025507df6f3a30d00fa327cd,drive,1D-DzZQJSaiKqUbsZ7bGIoOOzxPOKvd7h,drive-base64-exact,"O-a, Rung 3 Opening — the (H*) derivation attempt, pre-registered: frame democracy, two routes, the circularity trap named, and the flat-cylinder test as standing discipline"
20_records/2026-07/2026-07-25 20260725 Od_rung2_quantum_walk_stinespring_two_generators_DraftV1.md,2026-07-25,6869,2b0553251c3b9d00ceb9d41c5e4c7c248a9213f5870d4002860b644d5a6c0285,drive,1MJknnEzgcFcDGxWo28kGrfVxtrJNxh2f,drive-base64-exact,"O-d, Rung 2 — the quantum walk, executed: Stinespring closes the class from the same two morphisms; the adjoin-invisibility IS the homogeneity lemma (third appearance); quantum O-d discharged modulo t"
20_records/2026-07/2026-07-25 20260725 carrier_rung4_eigencurve_locator_preregistration_brief_DraftV1.md,2026-07-25,7664,f252962c26c4983872c3b270d71152ee4655bbcc7987067b3f9ec480e255bed2,drive,1HsvGbJUF41DYcMQGfl_dzCJo607ux_-S,drive-base64-exact,"Carrier Campaign, Rung 4 Pre-Registration Brief — the Eigencurve Terminal-Locator, Executable Spec (with one parity correction to Delta 5 §5)"
20_records/2026-07/2026-07-25 20260725 tsp_pnp_port_budget_reading_preregistered_experiments_DraftV1.md,2026-07-25,15339,c61474513c76630ebe2349b20edfcddfc21e2b0c7f25226f90527cb41c85deac,drive,10kRJitmU7aMlYzXFwDvOK67YHkDyB7SC,drive-base64-exact,TSP and P ≟ NP Through the Port/Budget Chart — Problem Pin + First Pre-Registered Experiments
20_records/2026-07/2026-07-25 20260725 tsp_port_budget_Delta1_bdeg_silver_graze_priced.md,2026-07-25,3838,7c1f346cdc3899600791b385ab6aa68a8ce6f2b6041bb1009f33371f43997857,drive,1tXi06ZubC_VkdzybemhXKPkOg4j8mSSK,drive-base64-exact,"TSP Port/Budget Record, Delta 1 — the B_deg/OPT ≈ 0.8284 graze vs the Liu/silver pair: priced and parked [pun], with the kill recorded"
20_records/2026-07/2026-07-25 20260726 carrier_p2_Delta1_primitivity_from_emission_center_break_one_bit_DraftV1.md,2026-07-25,7605,4109802f480c7d03b4ee48c52b27f17b0da88e2dcfa7b34b1b5ffabd698edfb5,drive,1tSMV2QCUeXRpB1_LiVvhC3o8W084rZsP,drive-base64-exact,"Carrier / p2, Delta 1 — Primitivity at 2 Derived from Emission; the Wild Structure Pinned Census-Free to One Half-Integer: the Break of the T² = −id Layer"
20_records/2026-07/2026-07-25 20260726 rough_register_levy_area_freezing_commutator_read_DraftV1.md,2026-07-25,9927,18a075d780edda4c6ada5b5359e3c16defa17e7bf8509e7c733b41e5017513a0,drive,1NZiGML_6yJlQDjhOEyWNiIny6o6R1y9o,drive-base64-exact,"The Unstructured Register, First Graded Pass — Lévy Area as Carried Mode, the Transport-Dressed Commutator Read, and Cascade Freezing as Budget Saturation"
20_records/2026-07/2026-07-25 20260726 trace_form_Delta3_tame_marking_law_derived_equality_falsified_DraftV1.md,2026-07-25,9483,9ea9ff94727d61754cbe721454951c14273057bb56fae4ff0b5e9a9c88326456,drive,1rVxvGktTG1ZUL-GAJ4whBpiy2J-uH4da,drive-base64-exact,"Trace Form, Delta 3 — the Marking Rule DERIVED at Tame Places; the Recorded Equality FALSIFIED by Constructed Specimens and Replaced; the Dyadic Mark Forced by Reciprocity"
20_records/2026-07/2026-07-25 O-d_rung1_markov_factorization_two_generators_DraftV1.md,2026-07-25,8252,ffaf7048a748795f3fa28b4bb13130e6899ee30c178e291c36298bc5811eccef,drive,1pPH4lVcX7-KwkdZr6oGTdb1ikavC51vl,drive-base64-exact,"O-d, Rung 1 — the two-generator factorization: Markov structure as the closure of the axiom's own operations; O-d reduced to one framing decision plus the quantum walk"
20_records/2026-07/2026-07-25 asides_log_entry_fourth_review_session_ActiveV2.md,2026-07-25,10361,227a600f7d4d1b1a7155d3ba282d06f7e4d19dc5e12fe088b7a0daddcaaca34c,drive,1hLlPY5mS-BguGrX4UprcXhgPqbsuW8iC,drive-base64-exact,Asides Log — 2026-07-25 Session Entry (fourth review → rung-3 replication → two framework answers → the vocabulary corrections → O-d rung 1)
20_records/2026-07/2026-07-25 asides_log_entry_fourth_review_session_ArchivalV1.md,2026-07-25,9325,ef489c2b3ce65dc3dc3b0e54879eaeb85ac7fba280cae3f87fd239bba70c48d7,drive,1_S6cirsSeHG4ptk6Jie15F4ojGvvkedN,drive-base64-exact,Asides Log — 2026-07-25 Session Entry (fourth review → rung-3 replication → two framework answers → the vocabulary corrections → O-d rung 1)
20_records/2026-07/2026-07-26 ASIDE - Continuation-Session.md,2026-07-26,8918,4081f091403d263c0acf7afafc9959bb58c89b05c12b6d4790003f673ca39a0b,drive,16WS3WJ31zlVvkw0IOGLYT2-YiRHltia8lOn7HgmRWqE,drive-gdoc-export-markdown,\# Asides/Consolidation Log — 2026-07-26 Continuation-Session Entry (b \= 3 adjudicated → μ-floor falsification → Weil-route inspection → ε-ledger → (H\*) → run
20_records/2026-07/2026-07-26 Carrier ⁄ p2 — b = 3 CLOSED.md,2026-07-26,4323,6d155de2fe9023a340dbcd2cffe81a8157bb56454f063c0de0a1c19cfd5de65d,drive,1j-SQ3KT6gEBwJ8F6xj1UfXcaMlrdODllY_7AeGTcY-g,drive-gdoc-export-markdown,\# Carrier / p2 — b \= 3 CLOSED: Adjudication Stamp (countersigned)
20_records/2026-07/2026-07-26 O-a Rung 3 EXECUTED.md,2026-07-26,12325,0b5c350622c2900631684204efcffa8dbfc1aacd5580000bc7eb5270ee9b9e0b,drive,1PaeJDY6HwyEWraxvpa1GjLnqAmesOUYp1lTNwAYawYc,drive-gdoc-export-markdown,\# O-a Rung 3 EXECUTED — (H4) Closed by a Third Route: the Fiber Dichotomy. The Flat Cylinder Dies by the Corpus's Own Single Axiom; the Residue Named Exactly
"20_records/2026-07/2026-07-26 Rung 4 — COMMITTED CENSUS OUTPUT, χ₁₂ branch.md",2026-07-26,3532,154e921eb9001247dd92497bf17ba4b42b27eb1f754f5fae5105150cca43aa61,drive,1ADcdnE58vjayilPqOPByOuQTd1RBEnK6FEaQYJxKsJk,drive-gdoc-export-markdown,"\# Carrier Rung 4 — COMMITTED CENSUS OUTPUT, χ₁₂ branch (lodged before the key opens)"
"20_records/2026-07/2026-07-26 Rung 4 — GRADED, χ₁₂ Branch: SUCCESS..md",2026-07-26,5530,f41e4fcd9c3c4b94634d2ed788ac17c8a002a9abccc53ded4168a3df4de09902,drive,1ckV0Hgs8xyIg9nVBgVFYUc_sXU-cFsWaFQT3XvX4-Gs,drive-gdoc-export-markdown,"\# Carrier Rung 4 — GRADED, χ₁₂ Branch: SUCCESS. The Icosahedral Eigensystem Produced from Weight-2 Data Under the Answer-Free Protocol, Matched at All Four Emb"
20_records/2026-07/2026-07-26 Rung 4 — Stage 1 EXECUTED.md,2026-07-26,3765,46cdb80387dfe09635172c28b9ce1d05779311faa76a5c8555989d3f5f2e71ed,drive,19yOSkVVIjARi0Sj8RY50DlklDtCQ18JAAgrFQfjVr7A,drive-gdoc-export-markdown,"\# Carrier Rung 4 — Stage 1 EXECUTED: K3 Blown Open, K1 Does Not Fire. The Ordinary Census Is Alive: 176/384 on Both Branches"
"20_records/2026-07/2026-07-26 Rung 4 — χ₆₀ Branch SUCCESS; K2 DISCHARGED, BOTH BRANCHES.md",2026-07-26,4473,87f706f4252288de880fc165fa979171c65e7db5a97ce716f367afa0506b8feb,drive,1gVwEzHsbxXdqlCU87C1V6m6b1afCNWNsB9OB7eoFQsg,drive-gdoc-export-markdown,\# Carrier Rung 4 — χ₆₀ Branch SUCCESS; K2 DISCHARGED IN DISCRIMINATING FORM ON BOTH BRANCHES; the Sixth Prime Confirms by the Zero-Class
20_records/2026-07/2026-07-26 Weil-Route Inspection.md,2026-07-26,5015,debb921601461de78fcd6520fd6accec48c7f0565568ea5a948d77cf01a7b099,drive,1xFi2TJnDfcgfATQzZRAe0u27vGdIr9u6GIHGwXGQDC4,drive-gdoc-export-markdown,"\# Weil-Route Inspection — the Classification Confirms the {5, 6} Fork Exactly and Refutes Census-Free Elimination: the One Bit Is the χ₈-Twist"
20_records/2026-07/2026-07-26 black_hat_charge_analytic_boundary_reads_the_center_DraftV1.md,2026-07-26,8529,57b3a618964774e9d70d377a4bc5cbb55ba80215eff416fc548d0aa4be1421e0,drive,1BlsMn4K-SGqaa7pXDKluyWUeT_pR4VNN,drive-base64-exact,"The Black-Hat Charge — The Analytic Boundary Reads the Center: ε as the Parabolic Observer's Bit, the Interval as Universal Seam Window, and Where Open #8 Actually Resolves"
20_records/2026-07/2026-07-26 ε-Ledger Pre-Registration.md,2026-07-26,5516,003bd2e8e2cd6842574ecc0ea25fd74645064f63e4c90f5600b817a0bc45c7bd,drive,15yS7pYyyqrsYIBA1hOyuHrZhsEAe3C8IOrSLHbDqIMA,drive-gdoc-export-markdown,"\# The ε-Ledger Derivation — Pre-Registration (lodged before computation), with a Correction Stamp on This Morning's Parity \[C\]"
20_records/2026-07/2026-07-26 ε-Ledger Results: Both LANDED.md,2026-07-26,9464,68e5ec92c07cee3897ae52a28e9dfa33c0b400d447d2b7cbe72291ec433d06f1,drive,1gyD7sdsGFJ4jKaJWbCzetrHwPIKez9L0fuEeKmZSMQ8,drive-gdoc-export-markdown,\# The ε-Ledger Derivation — Results: Both Components LANDED. The Marking Ledger Computes Root Numbers; the Twins Are Phase-Split by Exactly e^{−iπ/4}; the Carr
20_records/2026-07/2026-07-26 μ-Floor Phase-Law Test.md,2026-07-26,7451,688a5297483f219332fabfb154a53dc94109ef83fddcf948e73632b466c1adbc,drive,1re9aNDxi1Qrsj4WiDtmnaSpo09PIGoUcnoRl_5a4zP4,drive-gdoc-export-markdown,"\# μ-Floor Phase-Law Test — Results: Instrument PASSES, L-frac FALSIFIED, G\_new \= Λ Identification Dies With It"
20_records/2026-07/2026-07-27 ASIDE_Cleanroom_blind_replication_rung4.md,2026-07-27,13698,8db24c7c20112c8c78afab4821222d842a75b796404c10456b5beba1f033af84,drive,1tEaN5vI3qPyYauPOoc3L9ijjUxSUMQj0q_7oiZmyX3g,drive-gdoc-export-markdown,\# 2026-07-27 — Clean-room blind replication session (rung 4\)
20_records/2026-07/20260724_asides_log_entry_third_review_to_rung3_close.md,2026-07-24,6099,ff67bcdd873ee91ebbf5ad9d21e9ed426f527bd5b8ef8435326a92c078846c0d,drive,1zCLSWvuuY5rnRHThJwzZUjKuadf2IIfR8WM_3Oe-n80,drive-gdoc-export-markdown,"Asides Log — 2026-07-24 Session Entry (third external review → OT1 re-grade → carrier rung 3, Deltas 1–9 → consolidation and handoff)"
20_records/2026-07/20260724_session_consolidation_third_review_and_rung3_handoff_ActiveV1.md,2026-07-24,8439,7f0e73d2661ae30735e348970b19ce81aaf182a2ade386dd93826e098c5d254b,drive,1FbnPYbaAM7nEgGqE2WSynr_k-Qq2mkLboObvYFD-rYo,drive-gdoc-export-markdown,"Session Consolidation — the Third-Review Session: independent verification, the Rung-3 arc (Deltas 1–9), frozen pre-registrations, and the handoff \[ActiveV1\]"
20_records/2026-08/2026-08-01 Charge_Brief_2_Selberg_Eigenvalue_Conjecture_Seam_Passivity.txt,2026-08-01,16356,524b01ebb125b29b9864abdcd1f3a0820a35a5a9f12a7e582952bd35e6ca4ebe,drive,1m4SDEXQg4SXeUnZ3JhCCVo3MGThsK_rB,drive-base64-exact,Charge Brief 2 — Selberg's Eigenvalue Conjecture as Seam Passivity
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/2026-08-01 correction_record_archaeology_report_ActiveV1.md,2026-08-01,11799,c16a1a267e283e1a709b5c778115af9c9aee599f6edad813efaf3b7fac2ced2d,drive,18YYz5A-m5sjfiljppMNIXk0ezA8G7kZV,drive-text-route-exact,Correction Record — TEP Archaeology Report (DraftV1 → ActiveV2)
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/2026-08-01 tep_full_archaeology_report_feb_to_present_ActiveV2.md,2026-08-01,54595,b28e1212d4f9cd7b8fe3f91ae344fd7e988f38e485d800c1995460380c84695b,drive,1OG3712sPihdgisJcHSNDvhGWccJ99MOc,drive-text-route-exact,"The TEP Corpus, Excavated: Foundations, Corrections, Losses, and What Deserves Another Look"
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/ARCHIVAL_2026-08-01 tep_full_archaeology_report_DraftV1.md,2026-08-05,48088,19d95ee1906b749a3d312267127a86be073629a275137fd7f614d54208e31148,drive,1KLBrLkVdl-uoIH1Pv2ICVmLR3Yw8nxjF,drive-text-route-exact,"The TEP Corpus, Excavated: Foundations, Corrections, Losses, and What Deserves Another Look"
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_ADJ_reconsideration_adjudication.md,2026-08-05,46481,df78b6a11e81a667b8780ef2664d289fe464a8cfeb25244237fbd32e9317f955,drive,1HQJr3qW9Z3_Z5E8vDVCYTCho4OgVq6-v,drive-text-route-exact,ADJ — Master Adjudication of Historical Reconsideration Candidates
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_VER_citation_audit.md,2026-08-05,22502,fbdbfda9e1e0f29ca3cd665cfe1d5c1681c8e1c63f7e3f1f5705d956c1a99f90,drive,1Pm6McpkpmfCVYnk03eNP1BZlPaK1PqJg,drive-text-route-exact,VER — Independent Citation-and-Quote Audit of Memos W0–W5
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W0_foundations_reachback_memo.md,,47310,c7d967697477bb7296a3620f9fd4c9709a1ddd376efe0dfdc48aafd97936fdf0,drive,1p6-G94EwG43JWk9vN0RsxKr6BN5245YS,drive-base64-exact,W0 Memo — Foundations Reach-Back (origins → 2025-12-31)
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W1_jan_feb_confident_synthesis_memo.md,2026-08-05,48209,738aeca5da16ecca447cfad0ecb52e8bade90713a96ca53394fb0015c6ca68bc,drive,1gGTTqwMQeUx0F8Is77MHuMCTzwrqxLCV,drive-text-route-exact,W1 Memo — January–February 2026: The Confident-Synthesis Era
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W2_feb_apr_march_gap_v2_pivot_memo.md,,52858,fda4e51f228b85804ad1052bde199ee32a38b811fb0e0e8f5ec34ddf77c05cbc,drive,1mC_NWg3Zvpta1ZjRFxgYCMLfQTsGGjHD,drive-base64-exact,W2 Memo — Late February–April 2026: The March Gap and the V2 Pivot
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W3_apr_may_adversarial_pivot_memo.md,2026-08-05,49717,cf507948e0a52ad61f2404e30e63167d495b9bd0ac7d4f6c716bfa7bd2309fd5,drive,1R0f4ctgDqkxHOaOtUGeeasChTEKizhju,drive-text-route-exact,W3 Memo — Late April–May 2026: The Adversarial Pivot and the Corrections Engine
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W4_may_jun_errata_langlands_memo.md,2026-08-05,55801,e0d4b166df07ce98e3088784547bef86ce65c464e19e24610de922e157cfda0d,drive,1nLfqAY9nduosKNv97fNXwcFVBT6gf7uI,drive-text-route-exact,"W4 Memo — Late May–June 2026: The Errata Regime, the Foundational Reorganization, and the Langlands Onset"
20_records/2026-08/2026-08-01 tep_archaeology_appendices/01_archaeology/appendices/appendix_W5_jun_jul_frontier_baseline_memo.md,,48211,4e51921af571e082b6edeedadcf090ced1666141df501666abe0e54e9b144720,drive,1ABxqkFQxBC9T0nCacMMLC2YX0TtxLUdp,drive-base64-exact,W5 Memo — Late June–July 2026 Frontier (Adjudication Baseline)
20_records/2026-08/2026-08-01 tep_archaeology_appendices/02_charges/2026-08-01 charge_brief2_selberg_seam_passivity_DraftV1.md,2026-08-01,16245,a35090be63da152ec2b8fc1cb20f41980337208bb053ebec1bc29abdca3bac74,drive,1WMD_bXctT1WAMOd9n6XDN95zqln2lTjJ,drive-text-route-exact,Charge Brief 2 — Selberg's Eigenvalue Conjecture as Seam Passivity
