shelf,date_composed,date_filed,title,location,type,status,summary,link
drive,2026-07-20,2026-07-20,2026-07-20 supplementary_consolidation_entry_campaigns_night.md,TEP 2026-07/Dated TEP Documents ~2026,practice,practice,Supplementary consolidation entry for the campaigns night.,https://drive.google.com/file/d/1LaMeRkqH-MiE8WqvAQtlGUeRT5lVnoZi/view
drive,2026-07-20,2026-07-20,2026-07-20 four_fold_double_angle_addendum.md,TEP 2026-07/Dated TEP Documents ~2026,addendum,draft,Four-fold / double-angle addendum.,https://drive.google.com/file/d/1x0yqj8O_SgxGHTEEN1PFZBiDyfzQJr2T/view
drive,2026-07-20,2026-07-20→07-22,sigma_completion_cross_budget_double_angle_note (DraftV1 → ActiveV1; 3 copies),TEP 2026-07/Dated TEP Documents ~2026,session record,active (ActiveV1),Σ-completion cross-budget double-angle note; QC stamp S5: 'Σ-form (new)' deflated — mechanism is Arıkan's polar transform (polar_identification [I9]).,https://drive.google.com/file/d/1tbvPPYMEcK_d6tKXs3TAcbVyiilKdwdo/view
drive,2026-07-20,2026-07-20,2026-07-20 polar_identification_dihedral_shadow_note_DraftV1.md (×2),TEP 2026-07/Dated TEP Documents ~2026,session record,draft,Polar identification / dihedral shadow note — identifies the Σ-mechanism as Arıkan's polar transform.,https://drive.google.com/file/d/18T96tbd8hWu8i4wZOrz3U_oWf09lPhaO/view
drive,2026-07-20,2026-07-20,2026-07-20 T2_opening_petz_polarization_radial_universality_fiber_probe_DraftV1.md (×2),TEP 2026-07/Dated TEP Documents ~2026,campaign record,draft,"T2 opening: Petz polarization, radial universality, fiber probe.",https://drive.google.com/file/d/1f2ZqDxRpbjuvdhdmoHqDin7PDdyDJc7Z/view
drive,2026-07-20,2026-07-20,2026-07-20 conversion_ledger_response_record_DraftV1.md (×2),TEP 2026-07/Dated TEP Documents ~2026,session record,draft,Conversion-ledger response record.,https://drive.google.com/file/d/1ovmTg7-0GcoJ29zMaabeILbfmz_fWaTT/view
drive,2026-07-20,2026-07-20,2026-07-20 coda_pnt_share_and_port_length_fricke_addendum_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026,addendum,draft,Coda: PNT share and port-length Fricke addendum.,https://drive.google.com/file/d/1tYuYff5HOCdr7H3vHVRfzfUnI6UXxylT/view
drive,2026-07-20,2026-07-21,2026-07-20 external_review_corpus_and_recent_layer_claude_fable_ActiveV3.md,TEP 2026-07/Dated TEP Documents ~2026,external review,assessment,First full external review of repo+recent layer (spine #25). In-doc errata E1–E4.,https://drive.google.com/file/d/1Ow1AwXcPkbrigJ_M6O2SbjFa4G6aOB8t/view
drive,2026-07-21,2026-07-21,2026-07-21 ledger_patches_proposed(.md / _ActiveV1.md),TEP 2026-07/Dated TEP Documents ~2026 · BE · BU,patch ledger,active,P1–P7 pointer-discipline patches (spine #26). Majority countersigned per header.,https://drive.google.com/file/d/1suJNgKZVheWz3KuSpVG-8vB6X6-X8OpG/view
drive,2026-07-21,2026-07-21,2026-07-21 liu_external_check_closure.md,TEP 2026-07/Dated TEP Documents ~2026,assessment,assessment,"Closes 06-10 errata A1 external half: Liu priority zero, α absent, content-distinctness verified; two-sided stamp recommended.",https://drive.google.com/file/d/1JyoDJXbmn4v0iAzoggp_UHv6YxDSt5CL/view
drive,2026-07-21,2026-07-21,2026-07-21 gamma_star_nesting_provenance_note_Active_V2.md,TEP 2026-07/Dated TEP Documents ~2026,provenance note,active,γ*/nesting provenance & prior-art note (~40 searches; nearest-neighbor citations mandated). Resolves catalog-v1's Gamma* flag at the read-status level; V2 supersedes own §3a.,https://drive.google.com/file/d/1dOFE9_ZjERLfbs3hmOIJ9p3OCzt_wfVL/view
drive,2026-07-22,2026-07-22,2026-07-22 asides_log_entry_external_review_to_conductor_4000.md,TEP 2026-07/Dated TEP Documents ~2026,practice,practice,Asides-log entry: external review → conductor 4000.,https://drive.google.com/file/d/1kZhlusUqASfhwFj8O-vkr82Zvb4gb_-z/view
drive,2026-07-22,2026-07-22→07-24,ot1_delta_EXHIBITION_GRADED_conductor_4000 (ArchivalV2 → ArchivalV3 → ActiveV5),TEP 2026-07/Dated TEP Documents ~2026 · BE · BU,session delta,active (ActiveV5),The OT1 resolution (spine #23). Three Drive instances document the version chain; V6 rewrite queued (reviews I & L).,https://drive.google.com/file/d/1chIOaJDqMLj7B_Z5TTeybPBVeCDQ-Oee/view
drive,2026-07-22,2026-07-23,2026-07-22 external_review_ot1_resolution_and_present_queue_claude_fable_ActiveV1.md (×2),TEP 2026-07/Dated TEP Documents ~2026 (BE · BU),external review,assessment,Second external review: re-grades conductor-4000 independently; proves 07-04 8000-REJECT impossible (oldform inclusion); amendments adopted into EXHIBITION ActiveV3+.,https://drive.google.com/file/d/1sMCMRea2Q7prHQryeR1rwIKB5_gX2o9T/view
drive,2026-07-22,2026-07-23,2026-07-22 QC_pass_dated_layer_07-16_to_07-22_claude_fable_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (BU),QC record,assessment,The push gate (spine #27): stamps S1–S7 + push manifest.,https://drive.google.com/file/d/13u7kMjaOG5AKm8PnLiEGVmVxnYSzkDd_/view
drive,2026-07-23,2026-07-23,2026-07-23 asides_log_entry_second_review_to_ladder_closure.md,TEP 2026-07/Dated TEP Documents ~2026 (BU),practice,practice,Asides-log entry: second review → ladder closure.,https://drive.google.com/file/d/1dfrka0jDss-J_bAy77U2fFU6-ftpQHtL/view
drive,2026-07-23,2026-07-23,ot1_delta_8000_rerun_nonreject_ladder_provenance_closed (DraftV1 → ActiveV1),TEP 2026-07/Dated TEP Documents ~2026 (BU),session delta,active,Ladder closure by execution (spine #24). Repo copy reportedly still carries the DraftV1 filename (rename queued).,https://drive.google.com/file/d/1Ycb1NoAv1CdqlSpLAVrcZ5aTTd8Gwfrc/view
drive,2026-07-23,2026-07-23,2026-07-23 agm_ribbon_mechanism_test_record_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (BU),test record,draft,AGM-ribbon mechanism test — named by the third review as 'the decisive computation in the entire program' (graded variant).,https://drive.google.com/file/d/11f32vI4qq3EsyC2D97Q3LT-q0biZOimb/view
drive,2026-07-23,2026-07-23,2026-07-23 p2_bracket_record_b_derivation_and_tower5_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (BU),session record,draft,p2 bracket record: b derivation and tower-5. Import flag later discharged by the b=3 CLOSED stamp.,https://drive.google.com/file/d/1-SEQQQV4DyHwTwro-48ZtJdWFmu6M8Nh/view
drive,2026-07-24,2026-07-24,"2026-07-24 topological_carrier_record_trace_form_DraftV1.md (+ trace_form Delta1, Delta2)",TEP 2026-07/Dated TEP Documents ~2026 (BU),record cluster,draft,Topological-carrier trace-form record; Delta1 parity-collapse falsified (marked place); Delta2 marking rule / even ramification locus.,https://drive.google.com/file/d/19LA_GLDt4MLr3Oy-SL9QpnBFZMZK4Sgv/view
drive,2026-07-24,2026-07-24,carrier_campaign_opening + carrier_rung1 + carrier_rung2 (DraftV1),TEP 2026-07/Dated TEP Documents ~2026 (BU),campaign records,draft,Carrier campaign opening (seam crossing); rung 1 transfer located; rung 2 dihedral prototype (spine #32).,https://drive.google.com/file/d/1akrdSOUzJIk6c48yph5LmiYTBx80Ojxc/view
drive,2026-07-24,2026-07-25,2026-07-24 external_review_third_priority_recents_and_carrier_claude_fable.md,TEP 2026-07/Dated TEP Documents ~2026 (CR3),external review,assessment,Third review: zero mismatches over ~15 machine-checked clusters; declares the Repository Arch layer stale and orders the spine refresh (this document answers it).,https://drive.google.com/file/d/1lFYr4_tj6QPaYHbGAGVpAeYiWXXZ4LSL/view
drive,2026-07-24,2026-07-24→26,"rung3 records: opening + Deltas 1,4(Arch→ActiveV2),5,6,7,8,9 + session_consolidation_third_review (ActiveV1 ×2)","TEP 2026-07/Dated TEP Documents ~2026 (CR3, R34)",record cluster,active,The rung-3 arc (spine #33). Deltas 2–3 still absent from Drive (open flag).,https://docs.google.com/document/d/1hHU-nujRB5cvmoF7p028nUcagHaqFP5OfB64FdFYz-Y/edit
drive,2026-07-25,2026-07-26,"external_review_fourth (+ Addendum1 spine-read/metric-selection, + Addendum2 foundations-status, + first-verification variant)",TEP 2026-07/Dated TEP Documents ~2026 (R34),external review,assessment,Fourth review + its two self-correcting addenda (spine #28).,https://drive.google.com/file/d/1xjiz7Bsvl9DcMGZktnr6sF17ohyP40cZ/view
drive,2026-07-25,2026-07-26,period_review_mid_may_to_present_full_pass_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (R34),period review,assessment,Spine #29: the propagation-layer diagnosis.,https://drive.google.com/file/d/1s3FEcbPliD3rYsAv4HywTXFYKGgnxO89/view
drive,2026-07-25,2026-07-26,correctness_patch_bundle_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (R34),patch bundle,active,Spine #30: P-A–P-G + Foundations Status block v2 (appendix).,https://drive.google.com/file/d/1cfXsbDlwHkKzZ90i4IElnXAcZZTH3ESt/view
drive,2026-07-25,2026-07-26,foundations_status_block_proposed_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (R34),canon block,"superseded (same-day, by v2 in patch bundle)",First draft of the Foundations Status block; superseded by the v2 appendix in the correctness patch bundle.,https://drive.google.com/file/d/14QqRMUJov5HwSvBAXpBjPtw5swHD3XD1/view
drive,2026-07-25,2026-07-26,direction_memo_DraftV1.md,TEP 2026-07/Dated TEP Documents ~2026 (R34),governance memo,active,Spine #31: discharge-before-mint at program level; deposit + referee first.,https://drive.google.com/file/d/1O44YzFfrqGr8kluSvkQYVW8JSBCCMseB/view
drive,2026-07-25,2026-07-26,tsp_pnp_port_budget_reading (+ Delta1 bdeg silver graze) · rough_register_levy_area · trace_form_Delta3 · carrier_p2_Delta1 · Od_rung1 · Od_rung2 · Oa_rung3_opening · carrier_rung4_eigencurve_locator_preregistration_brief · black_hat_charge,TEP 2026-07/Dated TEP Documents ~2026 (R34),record cluster,draft,"The 07-25 sidelines cluster: TSP/PNP port-budget reading; rough-register Lévy-area; trace-form Delta3 (tame marking law); p2 Delta1 (primitivity/one-bit); O-d rungs 1–2 (Markov factorization; quantum-walk Stinespring); O-a rung-3 opening (restamped by P-G); rung-4 eigencurve prereg brief; black-hat charge (§§2–3 later falsified, §1 countersigned via b=3).",https://drive.google.com/file/d/10kRJitmU7aMlYzXFwDvOK67YHkDyB7SC/view
drive,2026-07-25,2026-07-26,asides_log_entry_fourth_review_session (ArchivalV1 → ActiveV2) · asides_log_entry_third_review_to_rung3_close · session_bundle_third_review_and_rung3.zip,TEP 2026-07/Dated TEP Documents ~2026 (R34),practice + bundle,practice,Practice records for the third/fourth review sessions (Archival→Active pair) + the session zip bundle.,https://drive.google.com/file/d/1hLlPY5mS-BguGrX4UprcXhgPqbsuW8iC/view
drive,2026-07-26,2026-07-26,Rung 4 Google-Doc cluster: Stage 1 EXECUTED · COMMITTED CENSUS χ₁₂ · GRADED χ₁₂ SUCCESS · χ₆₀ SUCCESS K2 DISCHARGED · ε-Ledger Pre-Registration · ε-Ledger Results Both LANDED · Weil-Route Inspection · μ-Floor Phase-Law Test · O-a Rung 3 EXECUTED · b=3 CLOSED,TEP 2026-07/Dated TEP Documents ~2026 + …/2026-07-26 Carrier Rung 4/,record cluster,records (graded/countersigned),"The 07-26 day (spine #34–#37): rung-4 both branches, ε-ledger, μ-floor falsification, Weil inspection, (H*) route S, and the countersigned b=3 stamp.",https://docs.google.com/document/d/19yOSkVVIjARi0Sj8RY50DlklDtCQ18JAAgrFQfjVr7A/edit
drive,2026-07-26,2026-07-26,2026-07-26 ASIDE - Continuation-Session,TEP 2026-07/Dated TEP Documents ~2026,practice,practice,Consolidation entry for the 07-26 day (anchors A1–A8; the decidability-gradient meta-correction I3).,https://docs.google.com/document/d/16WS3WJ31zlVvkw0IOGLYT2-YiRHltia8lOn7HgmRWqE/edit
drive,2026-07-27,2026-07-27,2026-07-27 ASIDE_Cleanroom_blind_replication_rung4 (+ 3 addenda),TEP 2026-07/Dated TEP Documents ~2026,practice,practice,Consolidation entry for the cleanroom replication session; names 'lexical summit-drift'; Addendum 4 = Rung E PoC summary.,https://docs.google.com/document/d/1tEaN5vI3qPyYauPOoc3L9ijjUxSUMQj0q_7oiZmyX3g/edit
drive,2026-07-27,2026-07-27,2026-07-27 Scripts Bundle,TEP 2026-07/Dated TEP Documents ~2026,bundle,bundle,Session-A scripts bundle (Google Doc copy; canonical bundle = project SCRIPTS_BUNDLE.txt with hashes in PROVENANCE_MANIFEST.txt).,https://docs.google.com/document/d/1Np6XflYC7L2qQBzL-VsH0FmYNrekDDZvSMO2EpxZ0Uk/edit
drive,2026-07-27,2026-07-27,TEP-Langlands Rung 4.ipynb,My Drive/Colab Notebooks,colab notebook,code,Rung-4 Colab notebook — well-named but filed outside the TEP tree (punch item 10).,https://drive.google.com/file/d/1CUecmaR6UPkQNX70a0FIyMKUD7Dz_y0s/view
drive,2026-07-27,2026-07-27,"Initialize subspace S_2^(new) (12000, chi_{12}); T_3 Hecke operator matrix computation","TEP 2026-07/Code, Tests, & Datasets/2026-07-26 Rung 3 & Rung 4",computation output,code,T₃ Hecke-matrix computation output (Google Doc; undated title — rename candidate).,https://docs.google.com/document/d/1FlB0mSSjgH_4DgneIHjg1JJ0R7FaKB0pqf7fffXHjHQ/edit
drive,2026-08-01,2026-08-01,2026-08-01 Consolidation_Entry_Archaeology + Asides Log — 2026-08-01 entry (duplicate pair),My Drive (root),practice,practice,"The archaeology session record: six window agents over the full 2,602-file corpus + adjudication; report DraftV1→ActiveV2 with six corrections; 'verbs are claims' rule. Filed twice at root (dedupe flag). NOTE: the archaeology report itself + appendices are conversation-side; not found in Drive (flag 12).",https://docs.google.com/document/d/1ItKlDzRd1qFlbctVP3lOFVS3zvDp3imz8oyLsC0CNjo/edit
drive,2026-08-03/04,2026-08-04,Summit records mirrored at Drive root: decode2141_RESULTS (.md + .md.txt) · decode2dim_VERIFICATION_addendum (.md + .md.txt) · decode2dim_crossverify_supplement (.md.txt; .md in Dated) · PROVENANCE MANIFEST v6.1 Addendum (gdoc),My Drive (root) + Dated,campaign records,records (offered),Root-level mirrors of the project cleanroom summit records — file into the TEP tree; .md/.md.txt twins to dedupe (punch item 7).,https://docs.google.com/document/d/15g-Kc1z_1QpGLb2fE9DU67CvsKn_dwcxhI3srFQt_bk/edit
drive,2026-08-04,2026-08-04,TEP even-icosahedral campaign 2026-08-03_04 — README + archive pointer,"TEP 2026-07/Code, Tests, & Datasets",README/pointer,canonical (pointer),"The packaging README for the summit campaign: verdict chain, archive layout, reproduction order, status; points to the hash-pinned zip (delivered in-conversation) and the project cleanroom set.",https://docs.google.com/document/d/11kTglny31_0xDZ5qzDh6KguhBrk6-VJj9DR-7iOtC78/edit
drive,2026-08-04,2026-08-04,corr_table_1951.txt · corr_table_2141.txt · totpos_BOTH_stdout.txt,"TEP 2026-07/Code, Tests, & Datasets",data artifacts,code,Cross-verification outputs (per-prime correlation tables; total-positivity stdout) accompanying the crossverify supplement.,https://drive.google.com/file/d/1c8UkiRyZaC3jameLg_nKZAQtHk-dkE8m/view
drive,2026-08-04,2026-08-05,Untitled document (= SCRIPTS_BUNDLE_C copy),My Drive (root),bundle,bundle (rename!),"Today's upload: Google-Doc copy of SCRIPTS_BUNDLE_C_20260804.txt (sha256 66332155…). Rename '2026-08-04 SCRIPTS_BUNDLE_C' and file into Code, Tests, & Datasets (punch item 6).",https://docs.google.com/document/d/1Wwqm_WAoHYmI-qpVVLzwTkox4dpWEXMiUeP7Ocgmzec/edit
drive,various,2026-07-19/20,"verify_*.py scripts (~17 distinct, several duplicated)","TEP 2026-07/Code, Tests, & Datasets",verification scripts,code,"The 07-19/20 [V]-verification scripts (cross-budget, parity quadrature, Σ-completion, dihedral shadow, T2 opening, conversion ledger, OT5 lemmas/deltas, etc.). Several uploaded twice (dedupe-by-pointer flag). Answers the 'scripts archived at:' rule (P5).",https://drive.google.com/file/d/14PugQ0IUsky7lusSwuMiOOl1W0U5yvcp/view
drive,2026-07-22,2026-07-22,2026-07-22 ot1_full_width_instrument/ (36 files incl. README_INSTRUMENT_MANIFEST.md),"TEP 2026-07/Code, Tests, & Datasets",instrument folder (rollup),code,"The OT1 full-width instrument: decoders v1/v2, PARI host builders, projectors, sweeps, gauge/FE tools, autopsy4000, preregistered-prediction JSON (md5 7fdd69c8…). README manifests pipeline + run order.",https://drive.google.com/file/d/1PE0qlUkaEiFzY6kYwd3PdIZSZD0DQ40u/view
drive,2026-07-24/25,2026-07-25,2026-07-24 Rung 3 + Fresh Review/ (6 verify scripts),"TEP 2026-07/Code, Tests, & Datasets",instrument folder (rollup),code,"Rung-3 verification scripts (check1/check2/fe_check, ribbon_links23, r32_crossing, r34e_value_register).",https://drive.google.com/file/d/1MmR-B3NFS2CHpcccvS2hoL3bd96lg5EU/view
drive,2026-07-25/26,2026-07-26,2026-07-26 Rung 3 & Rung 4/ (7 zips + 1 gdoc),"TEP 2026-07/Code, Tests, & Datasets",bundle folder (rollup),code,"Session bundles: review4_verify_scripts, tsp_lab, rough_lab, mark_rule, mu_lab (+v2), rung4 zips.",https://drive.google.com/file/d/1SYzkKW9LoR2rX9M1ah0Fxjb1OMCSf836/view
drive,pre-2026-07,2026-07-21,External Reference Papers/ (22 SOURCE_ files),TEP 2026-07/External Reference Papers,reference shelf (rollup),source,"New shelf created 07-21 executing the SOURCE_ convention (P3): arXiv texts/PDFs used by the corpus, gathered from the dated layer.",https://drive.google.com/file/d/156A4CNEhZAbM9dQEGasSurE1TCd1Zy1M/view
drive,pre-2026-07,2026-07-21,Transcripts/ (28 session exports),TEP 2026-07/Dated TEP Documents ~2026/Transcripts,transcript shelf (rollup),transcript,New shelf created 07-21: session transcripts gathered from the dated layer (TRANSCRIPT_ convention).,https://drive.google.com/file/d/19IrVtmqOHUN6Csv7UEZ8twjJt3NCbeLg/view
drive,2026-07-19/20,2026-07-19/20,Asides Log — per-entry Google Docs at root (07-19 Gaussian witness · 07-19 Cross-budget · 07-20 Σ-completion · 07-20 countersign addendum · 08-01 archaeology),My Drive (root),practice,practice,The consolidation-skill entries filed as standalone root docs. Master 'Asides Log' doc remains largely unappended (load step owed 4× per countersign ledger) — see punch item 13.,https://docs.google.com/document/d/1q21-2sSb8vgV8wObeiEo28spvICd0dItYUQa2hLS2jU/edit
project,,,cleanroom/session_opening_20260727T0820Z_DECISION_blind_decode_2dim_even_icosahedral.md,"claude.ai project ""2026-07-26""",decision/protocol,offered/record,Opens session B; activates the blind-decode seal (no Crespo/lift literature until commit-with-SHA-256).,
project,,,cleanroom/r4_replication_preregistration.md,"claude.ai project ""2026-07-26""",prereg,offered/record,Cleanroom rung-4 blind replication prereg; contamination ledger; kills RK1–RK4.,
project,,,cleanroom/r4_COMMIT_census_chi12_CLEANROOM.md,"claude.ai project ""2026-07-26""",commit,offered/record,"Blind χ₁₂ census+selector commit (40 ordinary blocks; V₄ pinned; selector rows {19,20,23,24}).",
project,,,cleanroom/r4_COMMIT_census_chi60_CLEANROOM.md,"claude.ai project ""2026-07-26""",commit,offered/record,Blind χ₆₀ census commit — first ever lodged (retro-closes the 07-26 missed gate).,
project,,,cleanroom/r4_BLIND_REPLICATION_GRADED_SUCCESS.md,"claude.ai project ""2026-07-26""",results/grade,offered/record,"Rung-4 replication SUCCESS both branches, 4/4 embeddings; two-ledger of caught errors; −χ erratum offered. [spine #38]",
project,,,cleanroom/rungE_resumption_preregistration.md,"claude.ai project ""2026-07-26""",prereg (staged),offered/record,Staged Rung E brief (E0–E3); compressed into the PoC design commit at Will's direction.,
project,,,cleanroom/rungE_poc_design_commit.md,"claude.ai project ""2026-07-26""",design commit,offered/record,Sym²-kills-the-center PoC design; controls before targets; kills KP-1..4.,
project,,,cleanroom/rungE_poc_RESULTS.md,"claude.ai project ""2026-07-26""",results,offered/record,"First even-icosahedral entirety certificates (1951: 2.2e-14; corpus field: 9.7e-15, tame everywhere); index-prime lesson; G_new meter §6. [spine #39]",
project,,,cleanroom/PROVENANCE_MANIFEST.txt,"claude.ai project ""2026-07-26""",manifest,offered/record,SHA-256 manifest v1–v3 (session A + PoC); byte-untouched base for external timestamping.,
project,,,cleanroom/SCRIPTS_BUNDLE.txt,"claude.ai project ""2026-07-26""",bundle,offered/record,"Session-A concatenated scripts (c-series, poc-series) with rebuild instructions.",
project,,,cleanroom/asides_consolidation_log_entry_20260727.md,"claude.ai project ""2026-07-26""",practice,offered/record,"Session-A log: anchors A1–A11, inflections I1–I7; names lexical summit-drift.",
project,,,cleanroom/STARTER_next_session.md,"claude.ai project ""2026-07-26""",starter (superseded),offered/record,07-27 handoff; superseded by the 08-03 starter (kept for history).,
project,,,cleanroom/sixsix_preregistration_20260727.md,"claude.ai project ""2026-07-26""",prereg,offered/record,Six-for-six Doud-field Sym² certificates prereg; toolchain byte-reproduced first; kills KF-1..4.,
project,,,cleanroom/sixsix_RESULTS_20260727.md,"claude.ai project ""2026-07-26""",results,offered/record,All six Doud fields certify at ~1e-14; dyadic face-port lesson; answer-free 2-adic decider 4/4. [spine #40],
project,,,cleanroom/E0ii_literature_sweep_RESULT_20260727.md,"claude.ai project ""2026-07-26""",assessment,offered/record,Priority sweep: VERDICT-2DIM NO / VERDICT-3DIM NO; BLS-2020 cap; Palojärvi–Zhao adopted. [spine #41],
project,,,cleanroom/decode_training_prior_disclosure_20260727.md,"claude.ai project ""2026-07-26""",disclosure,offered/record,Training-prior disclosure before decode computation (targets structurally absent from weights).,
project,,,cleanroom/decode2dim_preregistration_20260727.md,"claude.ai project ""2026-07-26""",prereg,offered/record,Session-B det-1 summit decode prereg (N=1951²·2^a framing — later retargeted 08-03).,
project,,,cleanroom/decode2dim_prereg_AMENDMENT1_20260727.md,"claude.ai project ""2026-07-26""",amendment,offered/record,Adds archimedean-parity axis; corrects §2 port-inheritance error.,
project,,,cleanroom/decode2dim_prereg_AMENDMENT2_20260727.md,"claude.ai project ""2026-07-26""",amendment+erratum,offered/record,Port-native objective J=max|x_ε(u)|; erratum on 'objective ≡ theta residual ≡ G_new→2'.,
